60.18776,24.82362
60.18772,24.82319
60.18764,24.82307
60.18771,24.82273
60.1879,24.82219
60.18812,24.82122
60.18877,24.81881
60.18915,24.81737
60.18903,24.81676
60.18878,24.81532
60.18853,24.81348
60.18881,24.81278
60.18895,24.81149
60.18898,24.81011
60.18977,24.80882
60.19082,24.80867
60.19228,24.80822
60.19334,24.80819
60.19348,24.80953
60.19355,24.81065
60.19379,24.81146
60.19535,24.8114
60.19616,24.81108
60.19698,24.81146
60.1976,24.81165
60.1981,24.8118
60.19891,24.81189
60.19984,24.81288
60.20001,24.81399
60.20011,24.81502
60.20038,24.81622
60.20065,24.818
60.20082,24.8217
60.20041,24.82218
60.19997,24.8224
60.19982,24.8233
60.20025,24.82425
60.20088,24.82445
60.20153,24.82406
60.202,24.82443
60.20243,24.82456
60.20272,24.82548
60.20297,24.82722
60.20276,24.82814
60.20299,24.82855
60.20324,24.82865
60.20361,24.82803
60.20388,24.82762
60.20517,24.82745
60.20654,24.82725
60.20777,24.82654
60.20796,24.82739
60.20794,24.82791
60.20796,24.82839
60.20786,24.83015
60.2077,24.83035
60.20775,24.83182
60.20752,24.83295
60.20719,24.83417
60.20728,24.83568
60.20702,24.83731
60.20663,24.83945
60.20619,24.84042
60.20562,24.84138
60.20498,24.84273
60.20454,24.84448
60.20403,24.84635
60.20408,24.84724
60.20389,24.84805
60.20352,24.84847
60.20336,24.84868
60.20324,24.85033
60.2031,24.85208
60.20263,24.85222
60.20218,24.85278
60.20204,24.85407
60.20182,24.8546
60.20152,24.85528
60.20139,24.85598
60.20126,24.85721
60.20096,24.85809
60.20053,24.85848
60.20004,24.85873
60.19966,24.85982
60.19938,24.86042
60.19911,24.86119
60.19909,24.86172
60.19901,24.86248
60.1987,24.86366
60.19851,24.86434
60.19827,24.86541
60.19775,24.86642
60.19746,24.86725
60.19672,24.86837
60.19628,24.86906
60.19583,24.86951
60.19532,24.87008
60.19487,24.87053
60.19444,24.87074
60.19415,24.87185
60.19339,24.87213
60.19304,24.8732
60.19276,24.87276
60.19254,24.87241
60.19236,24.87258
60.19186,24.87286
60.1915,24.87338
60.19113,24.87422
60.19035,24.87347
60.1899,24.87324
60.18962,24.87327
60.18906,24.87327
60.18883,24.8734
60.1886,24.87356
60.18826,24.87383
60.18806,24.87383
60.18774,24.87264
60.18749,24.87111
60.18733,24.87
60.187,24.86776
60.18649,24.86531
60.18581,24.86337
60.18533,24.86201
60.18517,24.86111
60.18505,24.86008
60.18495,24.85887
60.18485,24.85827
60.18459,24.85732
60.18435,24.85675
60.18337,24.85555
60.18286,24.8549
60.18261,24.85443
60.1824,24.85384
60.18216,24.85306
60.18193,24.85158
60.18186,24.85093
60.18184,24.85063
60.18181,24.85025
60.18178,24.85004
60.18175,24.84961
60.18171,24.84933
60.18161,24.84896
60.18141,24.84734
60.18106,24.84459
60.1805,24.84019
60.18025,24.83813
60.18024,24.83775
60.18017,24.83726
60.18005,24.83655
60.17992,24.83548
60.17993,24.83524
60.17999,24.83504
60.18051,24.83469
60.18123,24.83423
60.1821,24.83352
60.18231,24.83327
60.18259,24.83284
60.18285,24.83229
60.18312,24.83175
60.18355,24.83088
60.18382,24.8304
60.18392,24.83001
60.18408,24.82896
60.18416,24.82849
60.18423,24.82813
60.18452,24.82727
60.18474,24.82681
60.18495,24.82656
60.18535,24.82658
60.18576,24.82679
60.18624,24.82708
60.18671,24.82736
60.18681,24.82719
60.1869,24.82698
60.18704,24.82645
60.18729,24.82554
60.18748,24.82486
60.18764,24.82433
60.18773,24.82395
